Time,DroneID,X,Y,Z,Completed
80.00,FP000017,-73826.22,0.00,40662.52,false
90.00,FP000017,-73785.98,0.00,40692.21,true
100.00,FP000017,-73785.98,0.00,40692.21,true
110.00,FP000017,-73785.98,0.00,40692.21,true
120.00,FP000017,-73785.98,0.00,40692.21,true
120.00,FP000003,-73918.13,0.00,40651.28,false
130.00,FP000017,-73785.98,0.00,40692.21,true
130.00,FP000003,-73996.69,0.00,40695.16,true
140.00,FP000017,-73785.98,0.00,40692.21,true
140.00,FP000003,-73996.69,0.00,40695.16,true
150.00,FP000017,-73785.98,0.00,40692.21,true
150.00,FP000003,-73996.69,0.00,40695.16,true
160.00,FP000017,-73785.98,0.00,40692.21,true
160.00,FP000003,-73996.69,0.00,40695.16,true
170.00,FP000017,-73785.98,0.00,40692.21,true
170.00,FP000003,-73996.69,0.00,40695.16,true
180.00,FP000017,-73785.98,0.00,40692.21,true
180.00,FP000003,-73996.69,0.00,40695.16,true
190.00,FP000017,-73785.98,0.00,40692.21,true
190.00,FP000003,-73996.69,0.00,40695.16,true
200.00,FP000017,-73785.98,0.00,40692.21,true
200.00,FP000003,-73996.69,0.00,40695.16,true
210.00,FP000017,-73785.98,0.00,40692.21,true
210.00,FP000003,-73996.69,0.00,40695.16,true
220.00,FP000017,-73785.98,0.00,40692.21,true
220.00,FP000003,-73996.69,0.00,40695.16,true
230.00,FP000017,-73785.98,0.00,40692.21,true
230.00,FP000003,-73996.69,0.00,40695.16,true
240.00,FP000017,-73785.98,0.00,40692.21,true
240.00,FP000003,-73996.69,0.00,40695.16,true
250.00,FP000017,-73785.98,0.00,40692.21,true
250.00,FP000003,-73996.69,0.00,40695.16,true
260.00,FP000017,-73785.98,0.00,40692.21,true
260.00,FP000003,-73996.69,0.00,40695.16,true
270.00,FP000017,-73785.98,0.00,40692.21,true
270.00,FP000003,-73996.69,0.00,40695.16,true
280.00,FP000017,-73785.98,0.00,40692.21,true
280.00,FP000003,-73996.69,0.00,40695.16,true
290.00,FP000017,-73785.98,0.00,40692.21,true
290.00,FP000003,-73996.69,0.00,40695.16,true
300.00,FP000017,-73785.98,0.00,40692.21,true
300.00,FP000003,-73996.69,0.00,40695.16,true
310.00,FP000017,-73785.98,0.00,40692.21,true
310.00,FP000003,-73996.69,0.00,40695.16,true
320.00,FP000017,-73785.98,0.00,40692.21,true
320.00,FP000003,-73996.69,0.00,40695.16,true
330.00,FP000017,-73785.98,0.00,40692.21,true
330.00,FP000003,-73996.69,0.00,40695.16,true
340.00,FP000017,-73785.98,0.00,40692.21,true
340.00,FP000003,-73996.69,0.00,40695.16,true
340.00,FP000008,-73842.78,0.00,40721.74,false
350.00,FP000017,-73785.98,0.00,40692.21,true
350.00,FP000003,-73996.69,0.00,40695.16,true
350.00,FP000008,-73836.44,0.00,40740.71,true
360.00,FP000017,-73785.98,0.00,40692.21,true
360.00,FP000003,-73996.69,0.00,40695.16,true
360.00,FP000008,-73836.44,0.00,40740.71,true
370.00,FP000017,-73785.98,0.00,40692.21,true
370.00,FP000003,-73996.69,0.00,40695.16,true
370.00,FP000008,-73836.44,0.00,40740.71,true
370.00,FP000006,-73890.59,0.00,40684.70,false
380.00,FP000017,-73785.98,0.00,40692.21,true
