Time,DroneID,X,Y,Z,Completed
75.00,FP000017,-73874.50,10.00,40626.90,false
80.00,FP000017,-73791.63,10.00,40688.05,false
85.00,FP000017,-73866.45,10.00,40632.84,true
90.00,FP000017,-73866.45,10.00,40632.84,true
95.00,FP000017,-73866.45,10.00,40632.84,true
100.00,FP000017,-73866.45,10.00,40632.84,true
105.00,FP000017,-73866.45,10.00,40632.84,true
110.00,FP000017,-73866.45,10.00,40632.84,true
115.00,FP000017,-73866.45,10.00,40632.84,true
120.00,FP000017,-73866.45,10.00,40632.84,true
120.00,FP000003,-74005.41,10.00,40700.03,false
125.00,FP000017,-73866.45,10.00,40632.84,true
125.00,FP000003,-73904.85,10.00,40643.86,false
130.00,FP000017,-73866.45,10.00,40632.84,true
130.00,FP000003,-73883.23,10.00,40631.78,true
135.00,FP000017,-73866.45,10.00,40632.84,true
135.00,FP000003,-73883.23,10.00,40631.78,true
140.00,FP000017,-73866.45,10.00,40632.84,true
140.00,FP000003,-73883.23,10.00,40631.78,true
145.00,FP000017,-73866.45,10.00,40632.84,true
145.00,FP000003,-73883.23,10.00,40631.78,true
150.00,FP000017,-73866.45,10.00,40632.84,true
150.00,FP000003,-73883.23,10.00,40631.78,true
155.00,FP000017,-73866.45,10.00,40632.84,true
155.00,FP000003,-73883.23,10.00,40631.78,true
160.00,FP000017,-73866.45,10.00,40632.84,true
160.00,FP000003,-73883.23,10.00,40631.78,true
165.00,FP000017,-73866.45,10.00,40632.84,true
165.00,FP000003,-73883.23,10.00,40631.78,true
170.00,FP000017,-73866.45,10.00,40632.84,true
170.00,FP000003,-73883.23,10.00,40631.78,true
175.00,FP000017,-73866.45,10.00,40632.84,true
175.00,FP000003,-73883.23,10.00,40631.78,true
180.00,FP000017,-73866.45,10.00,40632.84,true
180.00,FP000003,-73883.23,10.00,40631.78,true
185.00,FP000017,-73866.45,10.00,40632.84,true
185.00,FP000003,-73883.23,10.00,40631.78,true
190.00,FP000017,-73866.45,10.00,40632.84,true
190.00,FP000003,-73883.23,10.00,40631.78,true
195.00,FP000017,-73866.45,10.00,40632.84,true
195.00,FP000003,-73883.23,10.00,40631.78,true
200.00,FP000017,-73866.45,10.00,40632.84,true
200.00,FP000003,-73883.23,10.00,40631.78,true
205.00,FP000017,-73866.45,10.00,40632.84,true
205.00,FP000003,-73883.23,10.00,40631.78,true
210.00,FP000017,-73866.45,10.00,40632.84,true
210.00,FP000003,-73883.23,10.00,40631.78,true
215.00,FP000017,-73866.45,10.00,40632.84,true
215.00,FP000003,-73883.23,10.00,40631.78,true
220.00,FP000017,-73866.45,10.00,40632.84,true
220.00,FP000003,-73883.23,10.00,40631.78,true
225.00,FP000017,-73866.45,10.00,40632.84,true
225.00,FP000003,-73883.23,10.00,40631.78,true
230.00,FP000017,-73866.45,10.00,40632.84,true
230.00,FP000003,-73883.23,10.00,40631.78,true
235.00,FP000017,-73866.45,10.00,40632.84,true
235.00,FP000003,-73883.23,10.00,40631.78,true
240.00,FP000017,-73866.45,10.00,40632.84,true
240.00,FP000003,-73883.23,10.00,40631.78,true
245.00,FP000017,-73866.45,10.00,40632.84,true
245.00,FP000003,-73883.23,10.00,40631.78,true
250.00,FP000017,-73866.45,10.00,40632.84,true
250.00,FP000003,-73883.23,10.00,40631.78,true
255.00,FP000017,-73866.45,10.00,40632.84,true
255.00,FP000003,-73883.23,10.00,40631.78,true
260.00,FP000017,-73866.45,10.00,40632.84,true
260.00,FP000003,-73883.23,10.00,40631.78,true
265.00,FP000017,-73866.45,10.00,40632.84,true
265.00,FP000003,-73883.23,10.00,40631.78,true
270.00,FP000017,-73866.45,10.00,40632.84,true
270.00,FP000003,-73883.23,10.00,40631.78,true
275.00,FP000017,-73866.45,10.00,40632.84,true
275.00,FP000003,-73883.23,10.00,40631.78,true
280.00,FP000017,-73866.45,10.00,40632.84,true
280.00,FP000003,-73883.23,10.00,40631.78,true
285.00,FP000017,-73866.45,10.00,40632.84,true
285.00,FP000003,-73883.23,10.00,40631.78,true
290.00,FP000017,-73866.45,10.00,40632.84,true
290.00,FP000003,-73883.23,10.00,40631.78,true
295.00,FP000017,-73866.45,10.00,40632.84,true
295.00,FP000003,-73883.23,10.00,40631.78,true
300.00,FP000017,-73866.45,10.00,40632.84,true
300.00,FP000003,-73883.23,10.00,40631.78,true
305.00,FP000017,-73866.45,10.00,40632.84,true
305.00,FP000003,-73883.23,10.00,40631.78,true
310.00,FP000017,-73866.45,10.00,40632.84,true
310.00,FP000003,-73883.23,10.00,40631.78,true
315.00,FP000017,-73866.45,10.00,40632.84,true
315.00,FP000003,-73883.23,10.00,40631.78,true
320.00,FP000017,-73866.45,10.00,40632.84,true
320.00,FP000003,-73883.23,10.00,40631.78,true
