Time,DroneID,X,Y,Z,Completed
80.00,FP000017,-73778.69,0.00,40697.59,false
90.00,FP000017,-73866.45,10.00,40632.84,true
100.00,FP000017,-73866.45,10.00,40632.84,true
110.00,FP000017,-73866.45,10.00,40632.84,true
120.00,FP000017,-73866.45,10.00,40632.84,true
120.00,FP000003,-74005.41,10.00,40700.03,false
130.00,FP000017,-73866.45,10.00,40632.84,true
130.00,FP000003,-73883.23,10.00,40631.78,true
140.00,FP000017,-73866.45,10.00,40632.84,true
140.00,FP000003,-73883.23,10.00,40631.78,true
150.00,FP000017,-73866.45,10.00,40632.84,true
150.00,FP000003,-73883.23,10.00,40631.78,true
160.00,FP000017,-73866.45,10.00,40632.84,true
160.00,FP000003,-73883.23,10.00,40631.78,true
170.00,FP000017,-73866.45,10.00,40632.84,true
170.00,FP000003,-73883.23,10.00,40631.78,true
180.00,FP000017,-73866.45,10.00,40632.84,true
180.00,FP000003,-73883.23,10.00,40631.78,true
190.00,FP000017,-73866.45,10.00,40632.84,true
190.00,FP000003,-73883.23,10.00,40631.78,true
200.00,FP000017,-73866.45,10.00,40632.84,true
200.00,FP000003,-73883.23,10.00,40631.78,true
210.00,FP000017,-73866.45,10.00,40632.84,true
210.00,FP000003,-73883.23,10.00,40631.78,true
220.00,FP000017,-73866.45,10.00,40632.84,true
220.00,FP000003,-73883.23,10.00,40631.78,true
230.00,FP000017,-73866.45,10.00,40632.84,true
230.00,FP000003,-73883.23,10.00,40631.78,true
240.00,FP000017,-73866.45,10.00,40632.84,true
240.00,FP000003,-73883.23,10.00,40631.78,true
250.00,FP000017,-73866.45,10.00,40632.84,true
250.00,FP000003,-73883.23,10.00,40631.78,true
260.00,FP000017,-73866.45,10.00,40632.84,true
260.00,FP000003,-73883.23,10.00,40631.78,true
270.00,FP000017,-73866.45,10.00,40632.84,true
270.00,FP000003,-73883.23,10.00,40631.78,true
280.00,FP000017,-73866.45,10.00,40632.84,true
280.00,FP000003,-73883.23,10.00,40631.78,true
290.00,FP000017,-73866.45,10.00,40632.84,true
290.00,FP000003,-73883.23,10.00,40631.78,true
300.00,FP000017,-73866.45,10.00,40632.84,true
300.00,FP000003,-73883.23,10.00,40631.78,true
310.00,FP000017,-73866.45,10.00,40632.84,true
310.00,FP000003,-73883.23,10.00,40631.78,true
320.00,FP000017,-73866.45,10.00,40632.84,true
320.00,FP000003,-73883.23,10.00,40631.78,true
330.00,FP000017,-73866.45,10.00,40632.84,true
330.00,FP000003,-73883.23,10.00,40631.78,true
340.00,FP000017,-73866.45,10.00,40632.84,true
340.00,FP000003,-73883.23,10.00,40631.78,true
340.00,FP000008,-73854.60,10.00,40686.39,false
350.00,FP000017,-73866.45,10.00,40632.84,true
350.00,FP000003,-73883.23,10.00,40631.78,true
350.00,FP000008,-73871.33,10.00,40636.38,true
360.00,FP000017,-73866.45,10.00,40632.84,true
360.00,FP000003,-73883.23,10.00,40631.78,true
360.00,FP000008,-73871.33,10.00,40636.38,true
370.00,FP000017,-73866.45,10.00,40632.84,true
370.00,FP000003,-73883.23,10.00,40631.78,true
370.00,FP000008,-73871.33,10.00,40636.38,true
370.00,FP000006,-73904.99,0.00,40736.41,false
380.00,FP000017,-73866.45,10.00,40632.84,true
380.00,FP000003,-73883.23,10.00,40631.78,true
380.00,FP000008,-73871.33,10.00,40636.38,true
380.00,FP000006,-73877.18,10.00,40636.53,true
390.00,FP000017,-73866.45,10.00,40632.84,true
390.00,FP000003,-73883.23,10.00,40631.78,true
390.00,FP000008,-73871.33,10.00,40636.38,true
390.00,FP000006,-73877.18,10.00,40636.53,true
400.00,FP000017,-73866.45,10.00,40632.84,true
400.00,FP000003,-73883.23,10.00,40631.78,true
400.00,FP000008,-73871.33,10.00,40636.38,true
400.00,FP000006,-73877.18,10.00,40636.53,true
410.00,FP000017,-73866.45,10.00,40632.84,true
410.00,FP000003,-73883.23,10.00,40631.78,true
410.00,FP000008,-73871.33,10.00,40636.38,true
410.00,FP000006,-73877.18,10.00,40636.53,true
420.00,FP000017,-73866.45,10.00,40632.84,true
420.00,FP000003,-73883.23,10.00,40631.78,true
420.00,FP000008,-73871.33,10.00,40636.38,true
420.00,FP000006,-73877.18,10.00,40636.53,true
430.00,FP000017,-73866.45,10.00,40632.84,true
430.00,FP000003,-73883.23,10.00,40631.78,true
430.00,FP000008,-73871.33,10.00,40636.38,true
430.00,FP000006,-73877.18,10.00,40636.53,true
430.00,FP000010,-73921.51,0.00,40548.50,false
440.00,FP000017,-73866.45,10.00,40632.84,true
440.00,FP000003,-73883.23,10.00,40631.78,true
440.00,FP000008,-73871.33,10.00,40636.38,true
440.00,FP000006,-73877.18,10.00,40636.53,true
440.00,FP000010,-73879.64,10.00,40618.32,true
450.00,FP000017,-73866.45,10.00,40632.84,true
450.00,FP000003,-73883.23,10.00,40631.78,true
450.00,FP000008,-73871.33,10.00,40636.38,true
450.00,FP000006,-73877.18,10.00,40636.53,true
450.00,FP000010,-73879.64,10.00,40618.32,true
460.00,FP000017,-73866.45,10.00,40632.84,true
460.00,FP000003,-73883.23,10.00,40631.78,true
460.00,FP000008,-73871.33,10.00,40636.38,true
460.00,FP000006,-73877.18,10.00,40636.53,true
460.00,FP000010,-73879.64,10.00,40618.32,true
470.00,FP000017,-73866.45,10.00,40632.84,true
470.00,FP000003,-73883.23,10.00,40631.78,true
470.00,FP000008,-73871.33,10.00,40636.38,true
470.00,FP000006,-73877.18,10.00,40636.53,true
470.00,FP000010,-73879.64,10.00,40618.32,true
480.00,FP000017,-73866.45,10.00,40632.84,true
480.00,FP000003,-73883.23,10.00,40631.78,true
480.00,FP000008,-73871.33,10.00,40636.38,true
480.00,FP000006,-73877.18,10.00,40636.53,true
480.00,FP000010,-73879.64,10.00,40618.32,true
490.00,FP000017,-73866.45,10.00,40632.84,true
490.00,FP000003,-73883.23,10.00,40631.78,true
490.00,FP000008,-73871.33,10.00,40636.38,true
490.00,FP000006,-73877.18,10.00,40636.53,true
490.00,FP000010,-73879.64,10.00,40618.32,true
500.00,FP000017,-73866.45,10.00,40632.84,true
500.00,FP000003,-73883.23,10.00,40631.78,true
500.00,FP000008,-73871.33,10.00,40636.38,true
500.00,FP000006,-73877.18,10.00,40636.53,true
500.00,FP000010,-73879.64,10.00,40618.32,true
510.00,FP000017,-73866.45,10.00,40632.84,true
510.00,FP000003,-73883.23,10.00,40631.78,true
510.00,FP000008,-73871.33,10.00,40636.38,true
510.00,FP000006,-73877.18,10.00,40636.53,true
510.00,FP000010,-73879.64,10.00,40618.32,true
520.00,FP000017,-73866.45,10.00,40632.84,true
520.00,FP000003,-73883.23,10.00,40631.78,true
520.00,FP000008,-73871.33,10.00,40636.38,true
520.00,FP000006,-73877.18,10.00,40636.53,true
520.00,FP000010,-73879.64,10.00,40618.32,true
530.00,FP000017,-73866.45,10.00,40632.84,true
530.00,FP000003,-73883.23,10.00,40631.78,true
