Time,DroneID,X,Y,Z,Completed
5.00,FLIGHT_001,-73985.72,0.00,40757.95,false
5.00,FLIGHT_002,-74005.38,0.00,40713.75,false
5.00,FLIGHT_003,-73982.40,0.00,40755.50,false
10.00,FLIGHT_001,-73985.65,0.00,40758.07,true
10.00,FLIGHT_002,-74005.45,0.00,40713.63,true
10.00,FLIGHT_003,-73965.90,0.00,40782.19,true
15.01,FLIGHT_001,-73985.65,0.00,40758.07,true
15.01,FLIGHT_002,-74005.45,0.00,40713.63,true
15.01,FLIGHT_003,-73965.90,0.00,40782.19,true
20.01,FLIGHT_001,-73985.65,0.00,40758.07,true
20.01,FLIGHT_002,-74005.45,0.00,40713.63,true
20.01,FLIGHT_003,-73965.90,0.00,40782.19,true
