Time,DroneID,X,Y,Z,Completed
80.00,FP000017,-73874.50,198.00,40626.90,false
90.00,FP000017,-73780.75,211.92,40696.08,false
100.00,FP000017,-73778.69,0.00,40697.59,false
110.00,FP000017,-73622.07,286.66,40813.16,false
120.00,FP000017,-73633.10,300.00,40805.02,true
120.00,FP000003,-73874.50,165.00,40626.90,false
130.00,FP000017,-73633.10,300.00,40805.02,true
130.00,FP000003,-74005.41,256.00,40700.03,false
140.00,FP000017,-73633.10,300.00,40805.02,true
140.00,FP000003,-74005.41,36.00,40700.03,false
150.00,FP000017,-73633.10,300.00,40805.02,true
150.00,FP000003,-74129.11,229.24,40769.13,false
160.00,FP000017,-73633.10,300.00,40805.02,true
160.00,FP000003,-74138.48,300.00,40774.37,true
170.00,FP000017,-73633.10,300.00,40805.02,true
170.00,FP000003,-74138.48,300.00,40774.37,true
180.00,FP000017,-73633.10,300.00,40805.02,true
180.00,FP000003,-74138.48,300.00,40774.37,true
190.00,FP000017,-73633.10,300.00,40805.02,true
190.00,FP000003,-74138.48,300.00,40774.37,true
200.00,FP000017,-73633.10,300.00,40805.02,true
200.00,FP000003,-74138.48,300.00,40774.37,true
210.00,FP000017,-73633.10,300.00,40805.02,true
210.00,FP000003,-74138.48,300.00,40774.37,true
220.00,FP000017,-73633.10,300.00,40805.02,true
220.00,FP000003,-74138.48,300.00,40774.37,true
230.00,FP000017,-73633.10,300.00,40805.02,true
230.00,FP000003,-74138.48,300.00,40774.37,true
240.00,FP000017,-73633.10,300.00,40805.02,true
240.00,FP000003,-74138.48,300.00,40774.37,true
250.00,FP000017,-73633.10,300.00,40805.02,true
250.00,FP000003,-74138.48,300.00,40774.37,true
260.00,FP000017,-73633.10,300.00,40805.02,true
260.00,FP000003,-74138.48,300.00,40774.37,true
270.00,FP000017,-73633.10,300.00,40805.02,true
270.00,FP000003,-74138.48,300.00,40774.37,true
280.00,FP000017,-73633.10,300.00,40805.02,true
280.00,FP000003,-74138.48,300.00,40774.37,true
290.00,FP000017,-73633.10,300.00,40805.02,true
290.00,FP000003,-74138.48,300.00,40774.37,true
300.00,FP000017,-73633.10,300.00,40805.02,true
300.00,FP000003,-74138.48,300.00,40774.37,true
